id_lead,nom_site,longitude,latitude,Date_Creation_site,evenement,Date_qualification,Date_signature_offre,Date_signature_pdb,PuissanceTotale,Date_Abandon,Phase_abandon,Derniere_Phase_Avant_Abandon,wattetco_commentairemotifdabandon,Statut_Offre,Statut_PDB,Statut_Qualification,Statut_Abandon,lien
52e638a9-ffe1-ef11-9342-6045bd1a19ff,3041-Rehel,2.54544100,46.09200800,2025-02-03,Sommet de l'Elevage 2024,2025-04-22,NULL,NULL,177.10,2025-05-20,Opportunité Abandonnée,Offre,Pas d'info on abandonne ce projet,Offre non signée,PDB non signée,Qualifiée,Abandonnée,https://org150b86b2.crm12.dynamics.com/main.aspx?appid=7adba364-5621-ee11-9967-000d3a958672&pagetype=entityrecord&etn=wattetco_opportunite&id=52E638A9-FFE1-EF11-9342-6045BD1A19FF
ea8321f5-b4b3-ef11-b8e9-6045bd1a19ff,2810-Leroussaud,1.71122800,45.67023500,2024-12-06,Sommet de l'Elevage 2024,2025-04-09,NULL,NULL,99.82,2025-05-20,Opportunité Abandonnée,Offre,Pas le temps à relancer veut modifier projet,Offre non signée,PDB non signée,Qualifiée,Abandonnée,https://org150b86b2.crm12.dynamics.com/main.aspx?appid=7adba364-5621-ee11-9967-000d3a958672&pagetype=entityrecord&etn=wattetco_opportunite&id=EA8321F5-B4B3-EF11-B8E9-6045BD1A19FF
34e5cdf9-bcb3-ef11-b8e8-000d3a95721b,2813-Leroussaud,1.69875600,45.67102100,2024-12-06,Sommet de l'Elevage 2024,2025-04-09,NULL,NULL,340.40,2025-05-20,Opportunité Abandonnée,Offre,Projet à modifier pas trop le temps en ce moment à revoir,Offre non signée,PDB non signée,Qualifiée,Abandonnée,https://org150b86b2.crm12.dynamics.com/main.aspx?appid=7adba364-5621-ee11-9967-000d3a958672&pagetype=entityrecord&etn=wattetco_opportunite&id=34E5CDF9-BCB3-EF11-B8E8-000D3A95721B
c18cba03-e2a7-ef11-b8e9-6045bd6d73d1,2683-Denis,2.05750200,46.69493300,2024-11-21,Sommet de l'Elevage 2024,2025-02-04,NULL,NULL,999.58,2025-05-16,Opportunité Abandonnée,Offre,Attente retour Triangle pour investir sinon il travaillera avec nous,Offre non signée,PDB non signée,Qualifiée,Abandonnée,https://org150b86b2.crm12.dynamics.com/main.aspx?appid=7adba364-5621-ee11-9967-000d3a958672&pagetype=entityrecord&etn=wattetco_opportunite&id=C18CBA03-E2A7-EF11-B8E9-6045BD6D73D1
6e6ad601-8f29-f011-8c4e-6045bd6e0bab,3379-Peuch,1.68227600,45.38908000,2025-05-05,Sommet de l'Elevage 2024,2025-05-13,NULL,NULL,100.00,NULL,NULL,NULL,NULL,Offre non signée,PDB non signée,Qualifiée,Non abandonnée,https://org150b86b2.crm12.dynamics.com/main.aspx?appid=7adba364-5621-ee11-9967-000d3a958672&pagetype=entityrecord&etn=wattetco_opportunite&id=6E6AD601-8F29-F011-8C4E-6045BD6E0BAB
61808613-e586-ef11-ac21-0022483a696f,2404-Seguy,2.54436509,43.47808829,2024-10-10,Sommet de l'Elevage 2023,2024-10-30,NULL,NULL,220.80,2025-05-13,Opportunité Abandonnée,Offre,Soulte trop faible,Offre non signée,PDB non signée,Qualifiée,Abandonnée,https://org150b86b2.crm12.dynamics.com/main.aspx?appid=7adba364-5621-ee11-9967-000d3a958672&pagetype=entityrecord&etn=wattetco_opportunite&id=61808613-E586-EF11-AC21-0022483A696F
61808613-e586-ef11-ac21-0022483a696f,2404-Seguy,2.54436509,43.47808829,2024-10-10,Sommet de l'Elevage 2023,2024-10-30,NULL,NULL,220.80,2025-05-13,Opportunité Abandonnée,Opportunité Abandonnée,Soulte trop faible,Offre non signée,PDB non signée,Qualifiée,Abandonnée,https://org150b86b2.crm12.dynamics.com/main.aspx?appid=7adba364-5621-ee11-9967-000d3a958672&pagetype=entityrecord&etn=wattetco_opportunite&id=61808613-E586-EF11-AC21-0022483A696F
9043f3bb-9881-ef11-ac21-6045bd6d73d1,3106-Bachelard,2.86541200,45.84340700,2024-10-03,Sommet de l'Elevage 2024,2025-04-30,NULL,NULL,199.64,NULL,NULL,NULL,NULL,Offre non signée,PDB non signée,Qualifiée,Non abandonnée,https://org150b86b2.crm12.dynamics.com/main.aspx?appid=7adba364-5621-ee11-9967-000d3a958672&pagetype=entityrecord&etn=wattetco_opportunite&id=9043F3BB-9881-EF11-AC21-6045BD6D73D1
aeacd9b5-b680-ef11-ac21-0022483a696f,2601-Roux,1.31607100,44.28071800,2024-10-02,Sommet de l'Elevage 2024,2024-12-03,NULL,NULL,334.88,2025-04-30,Opportunité Abandonnée,Offre,"pb financières de l'exploitation n'a pas d'argent pour le terrassement
projet non abandonné, mais en suspend pour le moment",Offre non signée,PDB non signée,Qualifiée,Abandonnée,https://org150b86b2.crm12.dynamics.com/main.aspx?appid=7adba364-5621-ee11-9967-000d3a958672&pagetype=entityrecord&etn=wattetco_opportunite&id=AEACD9B5-B680-EF11-AC21-0022483A696F
38252f09-236c-ef11-a671-6045bd1a19ff,2818-Descazeaux,1.11061055,43.75885379,2024-09-06,Innov Agri 2024,2025-01-15,NULL,NULL,399.28,2025-04-30,Opportunité Abandonnée,Offre,"Relancé à plusieurs reprises, sans réponse, ne doit pas y avoir du budget pour le bardage",Offre non signée,PDB non signée,Qualifiée,Abandonnée,https://org150b86b2.crm12.dynamics.com/main.aspx?appid=7adba364-5621-ee11-9967-000d3a958672&pagetype=entityrecord&etn=wattetco_opportunite&id=38252F09-236C-EF11-A671-6045BD1A19FF
